template_id,instance_id,query_group_id,plan_strategy,strategy_tag,n_ops,n_joins_plan,n_sel_plan,n_agg_plan,n_sort_plan,join_typ,access,n_pipe,pipe_max,n_par,par_max,d_0,d_1,d_2,d_3,n_cross,n_push,tier_span,read_total,write_total,inter_max,reduce,cost,cost_ratio_to_best,optimal,plan_template_id,best_strategy_tag,n_terms,n_rel,n_joins_query,n_anti,n_sel_query,n_agg_query,n_group,n_sort_query,depth,size_class_max,n_large,n_small,tier_min,tier_max,input_mb,query_class
Q2_I01_T21,Q2_I01,Q2,"l2, p3, index_nested_loop",21,15,4,6,1,1,3,1,0,0,13,3,1125.9,0.0,2255.6,0.0,9,9,2,2257.8,1123.7,1099.0,0.000354,2.337,1.0009,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T22,Q2_I01,Q2,"l2, p3, index_nested_loop, pipelined",22,15,4,6,1,1,3,1,5,5,13,3,1125.9,0.0,2251.1,0.0,9,9,2,2257.8,1119.2,1099.0,0.000354,2.335,1.0,1,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T23,Q2_I01,Q2,"l2, p3, sort_merge",23,17,4,6,1,3,2,0,0,0,13,3,2528.0,0.0,2246.9,0.0,9,9,2,3650.2,1124.7,1099.0,0.000354,4.2829,1.8342,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T24,Q2_I01,Q2,"l2, p3, sort_merge, pipelined",24,17,4,6,1,3,2,0,5,5,13,3,2528.0,0.0,2242.4,0.0,9,9,2,3650.2,1120.2,1099.0,0.000354,4.2809,1.8334,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T25,Q2_I01,Q2,"l3, serial, nested_loop",25,15,4,6,1,1,0,0,0,0,0,0,2528.0,0.0,0.0,2244.9,9,9,3,3649.2,1123.7,1099.0,0.000354,11.0073,4.714,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T26,Q2_I01,Q2,"l3, serial, nested_loop, pipelined",26,15,4,6,1,1,0,0,5,5,0,0,2528.0,0.0,0.0,2240.4,9,9,3,3649.2,1119.2,1099.0,0.000354,11.0063,4.7136,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T29,Q2_I01,Q2,"l3, serial, index_nested_loop",29,15,4,6,1,1,3,1,0,0,0,0,1125.9,0.0,0.0,2255.6,9,9,3,2257.8,1123.7,1099.0,0.000354,5.1672,2.2129,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T30,Q2_I01,Q2,"l3, serial, index_nested_loop, pipelined",30,15,4,6,1,1,3,1,5,5,0,0,1125.9,0.0,0.0,2251.1,9,9,3,2257.8,1119.2,1099.0,0.000354,5.1662,2.2125,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T31,Q2_I01,Q2,"l3, serial, sort_merge",31,17,4,6,1,3,2,0,0,0,0,0,2528.0,0.0,0.0,2246.9,9,9,3,3650.2,1124.7,1099.0,0.000354,11.0077,4.7142,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T32,Q2_I01,Q2,"l3, serial, sort_merge, pipelined",32,17,4,6,1,3,2,0,5,5,0,0,2528.0,0.0,0.0,2242.4,9,9,3,3650.2,1120.2,1099.0,0.000354,11.0067,4.7138,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q3_I01_T01,Q3_I01,Q3,"home, serial, nested_loop",1,7,2,3,1,1,0,0,0,0,0,0,307.2,16301.9,0.0,0.0,0,0,1,12380.3,4228.8,3460.9,6.1e-05,31.624,3.9002,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T03,Q3_I01,Q3,"home, serial, index_nested_loop",3,7,2,3,1,1,3,1,0,0,0,0,307.2,16256.9,0.0,0.0,0,0,1,12335.3,4228.8,3460.9,6.1e-05,31.5407,3.8899,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T04,Q3_I01,Q3,"home, serial, sort_merge",4,9,2,3,1,3,2,0,0,0,0,0,307.2,16303.9,0.0,0.0,0,0,1,12381.3,4229.8,3460.9,6.1e-05,31.6278,3.9007,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T05,Q3_I01,Q3,"home, p3, nested_loop",5,7,2,3,1,1,0,0,0,0,5,3,307.2,16301.9,0.0,0.0,0,0,1,12380.3,4228.8,3460.9,6.1e-05,10.5445,1.3005,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T07,Q3_I01,Q3,"home, p3, index_nested_loop",7,7,2,3,1,1,3,1,0,0,5,3,307.2,16256.9,0.0,0.0,0,0,1,12335.3,4228.8,3460.9,6.1e-05,10.5167,1.297,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T08,Q3_I01,Q3,"home, p3, sort_merge",8,9,2,3,1,3,2,0,0,0,5,3,307.2,16303.9,0.0,0.0,0,0,1,12381.3,4229.8,3460.9,6.1e-05,10.5482,1.3009,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T09,Q3_I01,Q3,"l2, serial, nested_loop",9,7,2,3,1,1,0,0,0,0,0,0,256.0,7896.0,8457.1,0.0,3,3,2,12380.3,4228.8,3460.9,6.1e-05,24.3686,3.0054,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T10,Q3_I01,Q3,"l2, serial, nested_loop, pipelined",10,7,2,3,1,1,0,0,3,3,0,0,256.0,7896.0,8454.6,0.0,3,3,2,12380.3,4226.3,3460.9,6.1e-05,24.366,3.0051,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T13,Q3_I01,Q3,"l2, serial, index_nested_loop",13,7,2,3,1,1,3,1,0,0,0,0,256.0,7896.0,8412.1,0.0,3,3,2,12335.3,4228.8,3460.9,6.1e-05,24.3236,2.9998,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T14,Q3_I01,Q3,"l2, serial, index_nested_loop, pipelined",14,7,2,3,1,1,3,1,3,3,0,0,256.0,7896.0,8409.6,0.0,3,3,2,12335.3,4226.3,3460.9,6.1e-05,24.321,2.9995,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T15,Q3_I01,Q3,"l2, serial, sort_merge",15,9,2,3,1,3,2,0,0,0,0,0,256.0,7896.0,8459.1,0.0,3,3,2,12381.3,4229.8,3460.9,6.1e-05,24.3707,3.0056,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T16,Q3_I01,Q3,"l2, serial, sort_merge, pipelined",16,9,2,3,1,3,2,0,3,3,0,0,256.0,7896.0,8456.6,0.0,3,3,2,12381.3,4227.3,3460.9,6.1e-05,24.368,3.0053,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T17,Q3_I01,Q3,"l2, p3, nested_loop",17,7,2,3,1,1,0,0,0,0,5,3,256.0,7896.0,8457.1,0.0,3,3,2,12380.3,4228.8,3460.9,6.1e-05,8.1246,1.002,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T18,Q3_I01,Q3,"l2, p3, nested_loop, pipelined",18,7,2,3,1,1,0,0,3,3,5,3,256.0,7896.0,8454.6,0.0,3,3,2,12380.3,4226.3,3460.9,6.1e-05,8.1233,1.0018,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T21,Q3_I01,Q3,"l2, p3, index_nested_loop",21,7,2,3,1,1,3,1,0,0,5,3,256.0,7896.0,8412.1,0.0,3,3,2,12335.3,4228.8,3460.9,6.1e-05,8.1096,1.0002,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T22,Q3_I01,Q3,"l2, p3, index_nested_loop, pipelined",22,7,2,3,1,1,3,1,3,3,5,3,256.0,7896.0,8409.6,0.0,3,3,2,12335.3,4226.3,3460.9,6.1e-05,8.1083,1.0,1,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T23,Q3_I01,Q3,"l2, p3, sort_merge",23,9,2,3,1,3,2,0,0,0,5,3,256.0,7896.0,8459.1,0.0,3,3,2,12381.3,4229.8,3460.9,6.1e-05,8.1266,1.0023,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T24,Q3_I01,Q3,"l2, p3, sort_merge, pipelined",24,9,2,3,1,3,2,0,3,3,5,3,256.0,7896.0,8456.6,0.0,3,3,2,12381.3,4227.3,3460.9,6.1e-05,8.1254,1.0021,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T25,Q3_I01,Q3,"l3, serial, nested_loop",25,7,2,3,1,1,0,0,0,0,0,0,256.0,7896.0,3460.9,4996.3,3,3,3,12380.3,4228.8,3460.9,6.1e-05,20.3482,2.5096,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T26,Q3_I01,Q3,"l3, serial, nested_loop, pipelined",26,7,2,3,1,1,0,0,3,3,0,0,256.0,7896.0,3460.9,4993.8,3,3,3,12380.3,4226.3,3460.9,6.1e-05,20.3477,2.5095,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T29,Q3_I01,Q3,"l3, serial, index_nested_loop",29,7,2,3,1,1,3,1,0,0,0,0,256.0,7896.0,3460.9,4951.3,3,3,3,12335.3,4228.8,3460.9,6.1e-05,20.3392,2.5084,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T30,Q3_I01,Q3,"l3, serial, index_nested_loop, pipelined",30,7,2,3,1,1,3,1,3,3,0,0,256.0,7896.0,3460.9,4948.8,3,3,3,12335.3,4226.3,3460.9,6.1e-05,20.3387,2.5084,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T31,Q3_I01,Q3,"l3, serial, sort_merge",31,9,2,3,1,3,2,0,0,0,0,0,256.0,7896.0,3460.9,4998.3,3,3,3,12381.3,4229.8,3460.9,6.1e-05,20.3486,2.5096,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T32,Q3_I01,Q3,"l3, serial, sort_merge, pipelined",32,9,2,3,1,3,2,0,3,3,0,0,256.0,7896.0,3460.9,4995.8,3,3,3,12381.3,4227.3,3460.9,6.1e-05,20.3481,2.5095,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T33,Q3_I01,Q3,"l3, p3, nested_loop",33,7,2,3,1,1,0,0,0,0,1,3,256.0,7896.0,3460.9,4996.3,3,3,3,12380.3,4228.8,3460.9,6.1e-05,10.0072,1.2342,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T34,Q3_I01,Q3,"l3, p3, nested_loop, pipelined",34,7,2,3,1,1,0,0,3,3,1,3,256.0,7896.0,3460.9,4993.8,3,3,3,12380.3,4226.3,3460.9,6.1e-05,10.0066,1.2341,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T37,Q3_I01,Q3,"l3, p3, index_nested_loop",37,7,2,3,1,1,3,1,0,0,1,3,256.0,7896.0,3460.9,4951.3,3,3,3,12335.3,4228.8,3460.9,6.1e-05,9.9982,1.2331,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T38,Q3_I01,Q3,"l3, p3, index_nested_loop, pipelined",38,7,2,3,1,1,3,1,3,3,1,3,256.0,7896.0,3460.9,4948.8,3,3,3,12335.3,4226.3,3460.9,6.1e-05,9.9976,1.233,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T39,Q3_I01,Q3,"l3, p3, sort_merge",39,9,2,3,1,3,2,0,0,0,1,3,256.0,7896.0,3460.9,4998.3,3,3,3,12381.3,4229.8,3460.9,6.1e-05,10.0076,1.2342,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q3_I01_T40,Q3_I01,Q3,"l3, p3, sort_merge, pipelined",40,9,2,3,1,3,2,0,3,3,1,3,256.0,7896.0,3460.9,4995.8,3,3,3,12381.3,4227.3,3460.9,6.1e-05,10.0071,1.2342,0,Q3_I01_T22,22,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q4_I01_T01,Q4_I01,Q4,"home, serial, nested_loop",1,5,0,3,1,1,0,0,0,0,0,0,0.0,26720.2,0.0,0.0,0,0,0,18424.6,8295.6,4037.7,0.01037,49.7716,4.1492,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T03,Q4_I01,Q4,"home, serial, index_nested_loop",3,5,0,3,1,1,3,1,0,0,0,0,0.0,25436.6,0.0,0.0,0,0,0,17141.0,8295.6,4037.7,0.01037,47.3946,3.9511,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T04,Q4_I01,Q4,"home, serial, sort_merge",4,7,0,3,1,3,2,0,0,0,0,0,0.0,27047.7,0.0,0.0,0,0,0,18588.3,8459.4,4037.7,0.01037,50.3839,4.2003,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T05,Q4_I01,Q4,"home, p3, nested_loop",5,5,0,3,1,1,0,0,0,0,3,3,0.0,26720.2,0.0,0.0,0,0,0,18424.6,8295.6,4037.7,0.01037,21.8824,1.8242,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T07,Q4_I01,Q4,"home, p3, index_nested_loop",7,5,0,3,1,1,3,1,0,0,3,3,0.0,25436.6,0.0,0.0,0,0,0,17141.0,8295.6,4037.7,0.01037,21.0901,1.7582,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T08,Q4_I01,Q4,"home, p3, sort_merge",8,7,0,3,1,3,2,0,0,0,3,3,0.0,27047.7,0.0,0.0,0,0,0,18588.3,8459.4,4037.7,0.01037,22.4947,1.8753,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T09,Q4_I01,Q4,"l2, serial, nested_loop",9,5,0,3,1,1,0,0,0,0,0,0,0.0,14305.0,12415.2,0.0,3,3,1,18424.6,8295.6,4037.7,0.01037,39.3425,3.2798,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T13,Q4_I01,Q4,"l2, serial, index_nested_loop",13,5,0,3,1,1,3,1,0,0,0,0,0.0,13021.4,12415.2,0.0,3,3,1,17141.0,8295.6,4037.7,0.01037,36.9655,3.0816,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T15,Q4_I01,Q4,"l2, serial, sort_merge",15,7,0,3,1,3,2,0,0,0,0,0,0.0,14305.0,12742.7,0.0,3,3,1,18588.3,8459.4,4037.7,0.01037,39.6787,3.3078,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q4_I01_T17,Q4_I01,Q4,"l2, p3, nested_loop",17,5,0,3,1,1,0,0,0,0,3,3,0.0,14305.0,12415.2,0.0,3,3,1,18424.6,8295.6,4037.7,0.01037,15.9755,1.3318,0,Q4_I01_T37,37,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
