instance_id,query_group_id,scale_factor,placement
Q6_I06,Q6,SF3,cold
Q7_I06,Q7,SF3,cold
Q8_I06,Q8,SF3,cold
Q9_I06,Q9,SF3,cold
Q10_I06,Q10,SF3,cold
Q11_I06,Q11,SF3,cold
Q12_I06,Q12,SF3,cold
Q13_I06,Q13,SF3,cold
Q14_I06,Q14,SF3,cold
Q15_I06,Q15,SF3,cold
Q1_I07,Q1,SF3,hot
Q2_I07,Q2,SF3,hot
Q3_I07,Q3,SF3,hot
Q4_I07,Q4,SF3,hot
Q5_I07,Q5,SF3,hot
Q6_I07,Q6,SF3,hot
Q7_I07,Q7,SF3,hot
Q8_I07,Q8,SF3,hot
Q9_I07,Q9,SF3,hot
Q10_I07,Q10,SF3,hot
Q11_I07,Q11,SF3,hot
Q12_I07,Q12,SF3,hot
Q13_I07,Q13,SF3,hot
Q14_I07,Q14,SF3,hot
Q15_I07,Q15,SF3,hot
Q1_I08,Q1,SF3,split
Q2_I08,Q2,SF3,split
Q3_I08,Q3,SF3,split
Q4_I08,Q4,SF3,split
Q5_I08,Q5,SF3,split
Q6_I08,Q6,SF3,split
Q7_I08,Q7,SF3,split
Q8_I08,Q8,SF3,split
Q9_I08,Q9,SF3,split
Q10_I08,Q10,SF3,split
Q11_I08,Q11,SF3,split
Q12_I08,Q12,SF3,split
Q13_I08,Q13,SF3,split
Q14_I08,Q14,SF3,split
Q15_I08,Q15,SF3,split
Q1_I09,Q1,SF10,baseline
Q2_I09,Q2,SF10,baseline
Q3_I09,Q3,SF10,baseline
Q4_I09,Q4,SF10,baseline
Q5_I09,Q5,SF10,baseline
Q6_I09,Q6,SF10,baseline
Q7_I09,Q7,SF10,baseline
Q8_I09,Q8,SF10,baseline
Q9_I09,Q9,SF10,baseline
Q10_I09,Q10,SF10,baseline
Q11_I09,Q11,SF10,baseline
Q12_I09,Q12,SF10,baseline
Q13_I09,Q13,SF10,baseline
Q14_I09,Q14,SF10,baseline
Q15_I09,Q15,SF10,baseline
Q1_I10,Q1,SF10,cold
Q2_I10,Q2,SF10,cold
Q3_I10,Q3,SF10,cold
Q4_I10,Q4,SF10,cold
Q5_I10,Q5,SF10,cold
Q6_I10,Q6,SF10,cold
Q7_I10,Q7,SF10,cold
Q8_I10,Q8,SF10,cold
Q9_I10,Q9,SF10,cold
Q10_I10,Q10,SF10,cold
Q11_I10,Q11,SF10,cold
Q12_I10,Q12,SF10,cold
Q13_I10,Q13,SF10,cold
Q14_I10,Q14,SF10,cold
Q15_I10,Q15,SF10,cold
Q1_I11,Q1,SF10,hot
Q2_I11,Q2,SF10,hot
Q3_I11,Q3,SF10,hot
Q4_I11,Q4,SF10,hot
Q5_I11,Q5,SF10,hot
Q6_I11,Q6,SF10,hot
Q7_I11,Q7,SF10,hot
Q8_I11,Q8,SF10,hot
Q9_I11,Q9,SF10,hot
Q10_I11,Q10,SF10,hot
Q11_I11,Q11,SF10,hot
Q12_I11,Q12,SF10,hot
Q13_I11,Q13,SF10,hot
Q14_I11,Q14,SF10,hot
Q15_I11,Q15,SF10,hot
Q1_I12,Q1,SF10,split
Q2_I12,Q2,SF10,split
Q3_I12,Q3,SF10,split
Q4_I12,Q4,SF10,split
Q5_I12,Q5,SF10,split
Q6_I12,Q6,SF10,split
Q7_I12,Q7,SF10,split
Q8_I12,Q8,SF10,split
Q9_I12,Q9,SF10,split
Q10_I12,Q10,SF10,split
Q11_I12,Q11,SF10,split
Q12_I12,Q12,SF10,split
Q13_I12,Q13,SF10,split
Q14_I12,Q14,SF10,split
Q15_I12,Q15,SF10,split
